**MINIMIZED DFA TRANSITION TABLE**
No.Of States: 90
from 38  on getting 79 to 71
from 38  on getting 80 to 71
from 38  on getting 81 to 72
from 38  on getting 82 to 72
from 38  on getting 83 to 73
from 38  on getting 84 to 73
from 38  on getting 85 to 74
from 38  on getting 86 to 74
from 38  on getting 87 to 75
from 38  on getting 88 to 75
from 38  on getting 89 to 76
from 38  on getting 90 to 76
from 38  on getting 97 to 77
from 38  on getting 98 to 77
from 38  on getting 99 to 78
from 38  on getting 100 to 78
from 38  on getting 101 to 79
from 38  on getting 102 to 79
from 38  on getting 103 to 80
from 38  on getting 104 to 80
from 38  on getting 105 to 81
from 38  on getting 106 to 81
from 38  on getting 107 to 82
from 38  on getting 108 to 82
from 38  on getting 109 to 83
from 38  on getting 110 to 83
from 38  on getting 111 to 84
from 38  on getting 112 to 84
from 38  on getting 113 to 85
from 38  on getting 114 to 85
from 38  on getting 115 to 86
from 38  on getting 116 to 86
from 38  on getting 117 to 87
from 38  on getting 118 to 87
from 38  on getting 119 to 88
from 38  on getting 120 to 88
from 38  on getting 121 to 89
from 38  on getting 122 to 89
from 39  on getting 48 to 59
from 39  on getting 49 to 59
